Run;Heuristic;Time (s);Expanded Nodes;;
1;hamming;0.024584;5602;;
1;manhattan;0.003108;605;;
2;hamming;0.055462;12651;;
2;manhattan;0.002560;830;;
3;hamming;0.018241;4280;;
3;manhattan;0.003045;648;;
4;hamming;0.128389;27806;;
4;manhattan;0.004616;1063;;
5;hamming;0.043212;9893;;
5;manhattan;0.008709;1247;;
6;hamming;0.077591;17264;;
6;manhattan;0.005130;1108;;
7;hamming;0.056358;12633;;
7;manhattan;0.005200;981;;
8;hamming;0.182107;38289;;
8;manhattan;0.019511;3867;;
9;hamming;0.186718;37502;;
9;manhattan;0.011716;2381;;
10;hamming;0.037019;8389;;
10;manhattan;0.007927;1599;;
11;hamming;0.041954;9718;;
11;manhattan;0.005135;1011;;
12;hamming;0.032273;7248;;
12;manhattan;0.001569;441;;
13;hamming;0.211511;45332;;
13;manhattan;0.021804;4679;;
14;hamming;0.044765;9932;;
14;manhattan;0.006031;1302;;
15;hamming;0.266829;57029;;
15;manhattan;0.025389;4983;;
16;hamming;0.065859;14032;;
16;manhattan;0.010784;2172;;
17;hamming;0.063742;13584;;
17;manhattan;0.007191;1553;;
18;hamming;0.174913;38105;;
18;manhattan;0.025632;5120;;
19;hamming;0.338195;71411;;
19;manhattan;0.037783;7585;;
20;hamming;0.024736;5780;;
20;manhattan;0.004187;758;;
21;hamming;0.264280;56834;;
21;manhattan;0.031274;6299;;
22;hamming;0.183295;37025;;
22;manhattan;0.012012;2421;;
23;hamming;0.174689;37609;;
23;manhattan;0.011907;2171;;
24;hamming;0.011885;2847;;
24;manhattan;0.000782;252;;
25;hamming;0.130680;28551;;
25;manhattan;0.010243;1996;;
26;hamming;0.003065;961;;
26;manhattan;0.001533;148;;
27;hamming;0.001508;409;;
27;manhattan;0.000000;101;;
28;hamming;0.058282;12959;;
28;manhattan;0.004569;1022;;
29;hamming;0.007659;1962;;
29;manhattan;0.001005;93;;
30;hamming;0.081147;17974;;
30;manhattan;0.008689;1877;;
31;hamming;0.202752;37861;;
31;manhattan;0.017341;3749;;
32;hamming;0.015562;3399;;
32;manhattan;0.002051;552;;
33;hamming;0.058444;13000;;
33;manhattan;0.003701;912;;
34;hamming;0.261875;56392;;
34;manhattan;0.019591;3965;;
35;hamming;0.012455;3328;;
35;manhattan;0.003062;452;;
36;hamming;0.036934;7913;;
36;manhattan;0.005582;1119;;
37;hamming;0.059159;13246;;
37;manhattan;0.006120;1336;;
38;hamming;0.061257;13816;;
38;manhattan;0.009361;1851;;
39;hamming;0.008716;2116;;
39;manhattan;0.001003;263;;
40;hamming;0.034544;7767;;
40;manhattan;0.003075;902;;
41;hamming;0.000000;155;;
41;manhattan;0.000000;57;;
42;hamming;0.030026;6211;;
42;manhattan;0.005565;1128;;
43;hamming;0.057793;13010;;
43;manhattan;0.005670;1132;;
44;hamming;0.003048;817;;
44;manhattan;0.000000;67;;
45;hamming;0.060587;13550;;
45;manhattan;0.008694;1807;;
46;hamming;0.012732;3003;;
46;manhattan;0.001030;259;;
47;hamming;0.079948;17521;;
47;manhattan;0.007943;1435;;
48;hamming;0.012310;3306;;
48;manhattan;0.001040;508;;
49;hamming;0.265376;56645;;
49;manhattan;0.023182;4587;;
50;hamming;0.026639;6309;;
50;manhattan;0.006492;1226;;
51;hamming;0.068942;14554;;
51;manhattan;0.012731;2702;;
52;hamming;0.127086;28264;;
52;manhattan;0.007658;1562;;
53;hamming;0.004020;1059;;
53;manhattan;0.001508;190;;
54;hamming;0.059576;12995;;
54;manhattan;0.005163;1169;;
55;hamming;0.013576;3247;;
55;manhattan;0.001509;410;;
56;hamming;0.208672;44382;;
56;manhattan;0.013510;2862;;
57;hamming;0.003726;728;;
57;manhattan;0.000520;201;;
58;hamming;0.025519;5879;;
58;manhattan;0.003365;801;;
59;hamming;0.027410;6093;;
59;manhattan;0.005021;1012;;
60;hamming;0.003739;903;;
60;manhattan;0.000667;91;;
61;hamming;0.025075;5665;;
61;manhattan;0.004026;670;;
62;hamming;0.059162;12349;;
62;manhattan;0.004833;876;;
63;hamming;0.010521;2549;;
63;manhattan;0.001541;415;;
64;hamming;0.349087;71573;;
64;manhattan;0.038113;7507;;
65;hamming;0.081192;17849;;
65;manhattan;0.006256;1458;;
66;hamming;0.132299;28526;;
66;manhattan;0.011618;2385;;
67;hamming;0.012810;3207;;
67;manhattan;0.002532;357;;
68;hamming;0.004590;1143;;
68;manhattan;0.000508;128;;
69;hamming;0.060035;13422;;
69;manhattan;0.007624;1568;;
70;hamming;0.010426;2424;;
70;manhattan;0.001983;420;;
71;hamming;0.010251;2197;;
71;manhattan;0.000505;217;;
72;hamming;0.009785;2252;;
72;manhattan;0.001626;253;;
73;hamming;0.059802;13284;;
73;manhattan;0.006387;1493;;
74;hamming;0.057920;13136;;
74;manhattan;0.006248;1361;;
75;hamming;0.097483;20857;;
75;manhattan;0.005739;1088;;
76;hamming;0.041657;9513;;
76;manhattan;0.004541;969;;
77;hamming;0.076594;17412;;
77;manhattan;0.007932;1529;;
78;hamming;0.024797;5965;;
78;manhattan;0.006570;1107;;
79;hamming;0.080769;18314;;
79;manhattan;0.011736;2251;;
80;hamming;0.081989;18376;;
80;manhattan;0.011755;2473;;
81;hamming;0.079763;17434;;
81;manhattan;0.005638;1272;;
82;hamming;0.174197;37485;;
82;manhattan;0.012891;2574;;
83;hamming;0.326569;70626;;
83;manhattan;0.042354;8213;;
84;hamming;0.033551;7656;;
84;manhattan;0.004565;748;;
85;hamming;0.054529;12448;;
85;manhattan;0.004152;899;;
86;hamming;0.008611;2204;;
86;manhattan;0.001054;248;;
87;hamming;0.126000;27925;;
87;manhattan;0.012051;2277;;
88;hamming;0.176445;38394;;
88;manhattan;0.020988;4281;;
89;hamming;0.032867;6933;;
89;manhattan;0.001508;287;;
